labels;parents;vab
Alojamiento y Restaurantes;Junin;304040
Telecom. y Otros Serv. de Info,;Junin;579725
Admin. Public. y Defensa;Junin;925815
Otros Servicios;Junin;2661809
Agricultura, Ganad., Caza y Silv.;La Libertad;3387023
Pesca y Acuicultura;La Libertad;217561
Extrac. de Minerales, Gas y Petrol.;La Libertad;1941273
Manufactura;La Libertad;3611558
Electricidad, Gas y Agua;La Libertad;218556
Construccion;La Libertad;1202765
Comercio;La Libertad;2362922
Transporte, Almacen., Correo y Mensaj.;La Libertad;1403446
Alojamiento y Restaurantes;La Libertad;532783
Telecom. y Otros Serv. de Info,;La Libertad;1205341
Admin. Public. y Defensa;La Libertad;1075544
Otros Servicios;La Libertad;4742440
Agricultura, Ganad., Caza y Silv.;Lambayeque;1025465
Pesca y Acuicultura;Lambayeque;39353
Extrac. de Minerales, Gas y Petrol.;Lambayeque;33820
Manufactura;Lambayeque;1211446
Electricidad, Gas y Agua;Lambayeque;126668
Construccion;Lambayeque;978536
Comercio;Lambayeque;2199426
Transporte, Almacen., Correo y Mensaj.;Lambayeque;954922
Alojamiento y Restaurantes;Lambayeque;311837
Telecom. y Otros Serv. de Info,;Lambayeque;752129
Admin. Public. y Defensa;Lambayeque;815803
Otros Servicios;Lambayeque;3386140
Agricultura, Ganad., Caza y Silv.;Lima;4438371
Pesca y Acuicultura;Lima;578043
Extrac. de Minerales, Gas y Petrol.;Lima;3639728
Manufactura;Lima;43214032
Electricidad, Gas y Agua;Lima;4931602
Construccion;Lima;12109221
Comercio;Lima;30195235
Transporte, Almacen., Correo y Mensaj.;Lima;16852367
Alojamiento y Restaurantes;Lima;10976790
Telecom. y Otros Serv. de Info,;Lima;15106849
Admin. Public. y Defensa;Lima;13309086
Otros Servicios;Lima;78985332
Agricultura, Ganad., Caza y Silv.;Loreto;807674
Pesca y Acuicultura;Loreto;37690
Extrac. de Minerales, Gas y Petrol.;Loreto;1645418
Manufactura;Loreto;630491
Electricidad, Gas y Agua;Loreto;109154
Construccion;Loreto;323463
Comercio;Loreto;1510037
Transporte, Almacen., Correo y Mensaj.;Loreto;476486
Alojamiento y Restaurantes;Loreto;290231
Telecom. y Otros Serv. de Info,;Loreto;312641
Admin. Public. y Defensa;Loreto;723295
Otros Servicios;Loreto;2068517
Agricultura, Ganad., Caza y Silv.;Madre de Dios;183151
Pesca y Acuicultura;Madre de Dios;1291
Extrac. de Minerales, Gas y Petrol.;Madre de Dios;713871
Manufactura;Madre de Dios;124448
Electricidad, Gas y Agua;Madre de Dios;20527
Construccion;Madre de Dios;184525
Comercio;Madre de Dios;290772
Transporte, Almacen., Correo y Mensaj.;Madre de Dios;118151
Alojamiento y Restaurantes;Madre de Dios;73235
Telecom. y Otros Serv. de Info,;Madre de Dios;49280
Admin. Public. y Defensa;Madre de Dios;112922
Otros Servicios;Madre de Dios;376594
Agricultura, Ganad., Caza y Silv.;Moquegua;94000
Pesca y Acuicultura;Moquegua;57062
Extrac. de Minerales, Gas y Petrol.;Moquegua;2276983
Manufactura;Moquegua;4061162
Electricidad, Gas y Agua;Moquegua;218788
Construccion;Moquegua;664504
Comercio;Moquegua;209391
Transporte, Almacen., Correo y Mensaj.;Moquegua;183560
Alojamiento y Restaurantes;Moquegua;104872
Telecom. y Otros Serv. de Info,;Moquegua;100151
Admin. Public. y Defensa;Moquegua;238765
Otros Servicios;Moquegua;569751
Agricultura, Ganad., Caza y Silv.;Pasco;419872
Pesca y Acuicultura;Pasco;608
Extrac. de Minerales, Gas y Petrol.;Pasco;3123653
Manufactura;Pasco;102321
Electricidad, Gas y Agua;Pasco;72273
Construccion;Pasco;325674
Comercio;Pasco;259346
Transporte, Almacen., Correo y Mensaj.;Pasco;118300
Alojamiento y Restaurantes;Pasco;59050
Telecom. y Otros Serv. de Info,;Pasco;64315
Admin. Public. y Defensa;Pasco;223997
Otros Servicios;Pasco;562935
Agricultura, Ganad., Caza y Silv.;Piura;1631192
Pesca y Acuicultura;Piura;450913
Extrac. de Minerales, Gas y Petrol.;Piura;1966507
Manufactura;Piura;2975625
Electricidad, Gas y Agua;Piura;361723
Construccion;Piura;1630792
Comercio;Piura;2731315
Transporte, Almacen., Correo y Mensaj.;Piura;1501870
Alojamiento y Restaurantes;Piura;478227
Telecom. y Otros Serv. de Info,;Piura;742353
Admin. Public. y Defensa;Piura;1207441
Otros Servicios;Piura;4100301
Agricultura, Ganad., Caza y Silv.;Puno;1491276
Pesca y Acuicultura;Puno;88263
Extrac. de Minerales, Gas y Petrol.;Puno;959023
Manufactura;Puno;771043
Electricidad, Gas y Agua;Puno;148467
Construccion;Puno;924389
Comercio;Puno;1113124
Transporte, Almacen., Correo y Mensaj.;Puno;756067
Alojamiento y Restaurantes;Puno;208540
Telecom. y Otros Serv. de Info,;Puno;386225
Admin. Public. y Defensa;Puno;756453
Otros Servicios;Puno;2151090
Agricultura, Ganad., Caza y Silv.;San Martin;1646804
Pesca y Acuicultura;San Martin;5157
Extrac. de Minerales, Gas y Petrol.;San Martin;40473
Manufactura;San Martin;572299
Electricidad, Gas y Agua;San Martin;38346
Construccion;San Martin;537274
Comercio;San Martin;686278
Transporte, Almacen., Correo y Mensaj.;San Martin;171270
Alojamiento y Restaurantes;San Martin;179519
Telecom. y Otros Serv. de Info,;San Martin;215677
Admin. Public. y Defensa;San Martin;554199
Otros Servicios;San Martin;1415640
Agricultura, Ganad., Caza y Silv.;Tacna;522997
Pesca y Acuicultura;Tacna;62919
Extrac. de Minerales, Gas y Petrol.;Tacna;2497116
Manufactura;Tacna;290526
Electricidad, Gas y Agua;Tacna;73637
Construccion;Tacna;628304
Comercio;Tacna;752349
Transporte, Almacen., Correo y Mensaj.;Tacna;514058
Alojamiento y Restaurantes;Tacna;117439
Telecom. y Otros Serv. de Info,;Tacna;261620
Admin. Public. y Defensa;Tacna;318701
Otros Servicios;Tacna;1073428
Agricultura, Ganad., Caza y Silv.;Tumbes;191278
Pesca y Acuicultura;Tumbes;188513
Extrac. de Minerales, Gas y Petrol.;Tumbes;219395
Manufactura;Tumbes;332713
Electricidad, Gas y Agua;Tumbes;20227
Construccion;Tumbes;234567
Comercio;Tumbes;490904
Transporte, Almacen., Correo y Mensaj.;Tumbes;158811
Alojamiento y Restaurantes;Tumbes;55414
Telecom. y Otros Serv. de Info,;Tumbes;133116
Admin. Public. y Defensa;Tumbes;205191
Otros Servicios;Tumbes;535239
Agricultura, Ganad., Caza y Silv.;Ucayali;449947
Pesca y Acuicultura;Ucayali;24060
Extrac. de Minerales, Gas y Petrol.;Ucayali;261705
Manufactura;Ucayali;629121
Electricidad, Gas y Agua;Ucayali;57625
Construccion;Ucayali;330246
Comercio;Ucayali;755000
Transporte, Almacen., Correo y Mensaj.;Ucayali;199491
Alojamiento y Restaurantes;Ucayali;171372
Telecom. y Otros Serv. de Info,;Ucayali;216022
Admin. Public. y Defensa;Ucayali;350333
Otros Servicios;Ucayali;996011
